Sample_ID,PC1_0.03008,PC2_0.01143,PC3_0.00354,Super_Population,Population,Population_Description
HG01896,-1.7645018142991609,0.34485901252279283,-0.2514225230212995,AFR,ACB,African Caribbean in Barbados
HG01912,-1.0621842141909277,-0.6060967515123491,-0.2330003098811849,AFR,ACB,African Caribbean in Barbados
HG01914,-1.7303730245461182,0.16838342982500892,0.07393279203970385,AFR,ACB,African Caribbean in Barbados
HG01915,-1.3979136745747436,0.006568527844007741,-0.17591398632202798,AFR,ACB,African Caribbean in Barbados
HG01917,0.6985326076297703,-0.08424839031051859,-3.3967946985631,AMR,PEL,"Peruvian in Lima, Peru"
HG01918,0.7270102837056195,0.38646573724128586,-3.77570411796619,AMR,PEL,"Peruvian in Lima, Peru"
HG01920,0.853176485907007,0.5020891020689623,-3.7294799015847375,AMR,PEL,"Peruvian in Lima, Peru"
HG01921,0.6236312894731558,-0.24610134005834616,-2.1568304974253523,AMR,PEL,"Peruvian in Lima, Peru"
HG01923,0.6842241096498854,-0.010781613402132241,-2.7000116685644544,AMR,PEL,"Peruvian in Lima, Peru"
HG01924,0.13018197877821264,0.15661683668042414,-1.8056284354257737,AMR,PEL,"Peruvian in Lima, Peru"
HG01926,0.8446483353145134,0.6140663057912432,-4.127128827144582,AMR,PEL,"Peruvian in Lima, Peru"
HG01927,0.853084926906756,0.5346716984798332,-4.327626757269522,AMR,PEL,"Peruvian in Lima, Peru"
HG01932,0.7676424235897513,0.26097172428053106,-3.428742563042392,AMR,PEL,"Peruvian in Lima, Peru"
HG01933,0.6725785078549201,-0.5080540568368169,-1.7931784267029764,AMR,PEL,"Peruvian in Lima, Peru"
HG01935,0.7765684720098399,0.25735227325746457,-3.3742101288180795,AMR,PEL,"Peruvian in Lima, Peru"
HG01936,0.4068807294565455,-0.19906377439396966,-2.1853884698493813,AMR,PEL,"Peruvian in Lima, Peru"
HG01938,0.8065805069282543,0.5303442851896336,-4.049145126912113,AMR,PEL,"Peruvian in Lima, Peru"
HG01939,0.8148306353014787,0.5223810982082573,-3.4754540614991027,AMR,PEL,"Peruvian in Lima, Peru"
HG01941,0.5718235275340626,0.26331044481324234,-3.724006776585,AMR,PEL,"Peruvian in Lima, Peru"
HG01942,0.8708860513247937,0.048525119511463634,-3.1157441200684204,AMR,PEL,"Peruvian in Lima, Peru"
HG01944,0.8325899891340086,0.5950267344430014,-3.251472091462435,AMR,PEL,"Peruvian in Lima, Peru"
HG01945,0.5842068504130826,0.035070345832966615,-2.5691131417406825,AMR,PEL,"Peruvian in Lima, Peru"
HG01947,0.688848915030466,0.4579699177505798,-3.607530650113484,AMR,PEL,"Peruvian in Lima, Peru"
HG01948,0.8202018212788859,0.14057672726199774,-3.868239919186764,AMR,PEL,"Peruvian in Lima, Peru"
HG01950,0.15836471848503725,0.3171173111244709,-2.6746893360763244,AMR,PEL,"Peruvian in Lima, Peru"
HG01951,0.8390195677675067,0.6550571372096371,-4.498007113786581,AMR,PEL,"Peruvian in Lima, Peru"
HG01953,0.8551382059862335,0.3560046044694181,-3.6557941687565743,AMR,PEL,"Peruvian in Lima, Peru"
HG01954,0.8831958860662418,0.4189912405000288,-3.599161851296558,AMR,PEL,"Peruvian in Lima, Peru"
HG01956,-1.8474176738260035,0.13012406136182342,-0.034147891601787383,AFR,ACB,African Caribbean in Barbados
HG01958,-1.3230585342644032,-0.07791588439504983,-0.3124325142434121,AFR,ACB,African Caribbean in Barbados
HG01961,0.6939193401171105,0.5967517498550732,-3.093484019229925,AMR,PEL,"Peruvian in Lima, Peru"
HG01965,0.7894841498030069,0.32386825625703675,-3.1739960295421845,AMR,PEL,"Peruvian in Lima, Peru"
HG01967,0.6362317922105788,0.17886841874909956,-3.36761052578259,AMR,PEL,"Peruvian in Lima, Peru"
HG01968,0.6983773741371917,-0.026618677053608288,-3.293234542996253,AMR,PEL,"Peruvian in Lima, Peru"
HG01970,0.7531885086542052,-0.5792582510727284,-2.274028309045769,AMR,PEL,"Peruvian in Lima, Peru"
HG01971,0.3554189554310426,0.2312635630306576,-3.343056140744161,AMR,PEL,"Peruvian in Lima, Peru"
HG01973,-0.11843640188872105,0.555349684055232,-2.759501270103184,AMR,PEL,"Peruvian in Lima, Peru"
HG01974,0.7639807952658326,0.3529875297705061,-3.83060579250852,AMR,PEL,"Peruvian in Lima, Peru"
HG01976,0.2438685786472537,-0.5199392722745416,-1.2264517482536457,AMR,PEL,"Peruvian in Lima, Peru"
HG01977,0.6862020679458595,-0.2185178721955352,-2.4387836982225966,AMR,PEL,"Peruvian in Lima, Peru"
HG01979,0.8015263635322251,-0.020169621779164985,-2.9306910766346514,AMR,PEL,"Peruvian in Lima, Peru"
HG01980,0.7253660494793894,-0.22010986594077786,-2.4936564105550056,AMR,PEL,"Peruvian in Lima, Peru"
HG01982,0.8188910797913154,0.017607506830095626,-3.5137793602682237,AMR,PEL,"Peruvian in Lima, Peru"
HG01985,-1.1096219473842923,-0.15549189943260133,-0.5181506050151055,AFR,ACB,African Caribbean in Barbados
HG01986,-1.809097555546605,0.21202494346731451,0.4828320869592692,AFR,ACB,African Caribbean in Barbados
HG01988,-1.2858154944522484,0.10658350881320314,-0.14992687532864454,AFR,ACB,African Caribbean in Barbados
HG01989,-1.788406859605162,0.2691550037192549,-0.04346716488750129,AFR,ACB,African Caribbean in Barbados
HG01990,-1.7011588671885065,0.26250524279595405,0.17094147625746356,AFR,ACB,African Caribbean in Barbados
HG01991,0.7287354703232849,-0.04847589684436216,-3.0754413116970087,AMR,PEL,"Peruvian in Lima, Peru"
HG01992,0.823595264628904,-0.040811097995054335,-2.9883687650228388,AMR,PEL,"Peruvian in Lima, Peru"
HG01997,0.9448232888943991,0.7404538504763042,-4.605102690199615,AMR,PEL,"Peruvian in Lima, Peru"
HG02002,0.9019401938873822,-0.2607018672490448,-3.0681969641761966,AMR,PEL,"Peruvian in Lima, Peru"
HG02003,0.7932148100129445,0.08769656238928343,-3.0854346183726893,AMR,PEL,"Peruvian in Lima, Peru"
HG02006,0.7277224090225354,-0.6520383347187692,-2.4622274844962986,AMR,PEL,"Peruvian in Lima, Peru"
HG02008,0.7738376554148004,0.07389086542512124,-3.629125374561076,AMR,PEL,"Peruvian in Lima, Peru"
HG02009,-1.0399623062204113,-0.3683234974016305,0.2956138278580317,AFR,ACB,African Caribbean in Barbados
